article,subpoint,criteria_text,keywords,quantitative_params
13,2,"заболевания гипофиза, надпочечников, паращитовидных и половых желез, а также заболевания щитовидной железы, не вошедшие в пункт 12 Требований по графам, с умеренным нарушением функции в состоянии клинико-гормональной компенсации на фоне медикаментозной терапии; состояние (последствие) после медицинских процедур на эндокринной железе в состоянии клинико-гормональной компенсации на фоне заместительной терапии","почечный, эндокринный",{}
13,2,"генетические синдромы с умеренным нарушением функции эндокринных органов в состоянии клинико-гормональной субкомпенсации или декомпенсации на фоне медикаментозной терапии; сахарный диабет 2-го типа, при котором компенсация углеводного обмена достигается только постоянным приемом таблетированных сахароснижающих препаратов на фоне диетотерапии","диабет, эндокринный",{}
13,2,"сахарный диабет 2-го типа, при котором гликемия в течение суток превышает 8,9 ммоля/литр и (или) гликозилированный гемоглобин составляет более 7,5 процента; сахарный диабет 2-го типа, при котором компенсация углеводного обмена достигается назначением постоянной диетотерапии, при наличии непролиферативной ретинопатии, нефропатии 3-й (микроальбуминурическая) или 4-ой (протеинурической) стадии, умеренно выраженной периферической невропатии и ангиопатии",диабет,"{""count_more_than"": 7, ""glucose_mmol_l"": 8.9, ""hba1c_percent"": 7.5}"
13,2,"экзогенно-конституциональное ожирение III степени; нарушения обмена веществ, требующие постоянного лечения, специального питания, соблюдения специального режима труда и отдыха (в том числе фенилкетонурия, галактоземия, гликогеноз, болезнь Вильсона-Коновалова, болезнь Гоше). Граждане, у которых при призыве на срочную воинскую службу, впервые выявлено экзогенно-конституциональное ожирение II степени, признаются по подпункту 4) пункта 13 Требований по графамвременно негодными к воинской службе на двенадцать месяцев, а при безуспешном лечении ожирения медицинское освидетельствование проводится по подпункту 3) пункта 13 Требований по графам.",ожирение,"{""degree"": 3}"
13,3,"легкие обратимые формы диффузного токсического зоба (легкая неврозоподобная симптоматика, снижение толерантности к физической нагрузке, частота пульса до 100 ударов в минуту, повышение основного обмена не превышает 30 процентов, при увеличении щитовидной железы I-II степени); состояние после медицинских процедур на эндокринной железе при клинико-гормональной компенсации, не требующее назначения терапии","зоб, невроз, эндокринный","{""degree"": 2}"
13,3,"сахарный диабет 2-го типа, при котором компенсация углеводного обмена достигается назначением постоянной диетотерапии, а гликемия в течение суток не превышает 8,9 ммоля/литр и (или) гликозилированный гемоглобин равен или менее 7,5 процента, при отсутствии поздних осложнений; почечный диабет","диабет, почечный","{""count_less_than"": 7, ""glucose_mmol_l"": 8.9, ""hba1c_percent"": 7.5}"
13,3,"подострый тироидит с рецидивирующим течением; экзогенно-конституциональное ожирение II степени. При хроническом фиброзном и аутоиммунном тиреоидите медицинское освидетельствование проводится по подпунктам 1), 2) или 3) пункта 13 Требований по графамв зависимости от степени нарушения функции щитовидной железы (без нарушения функций - по подпункту 3) пункта 12 Требований по графам). При диагностировании других нарушений обмена веществ (кистозный фиброз, амилоидоз, альбинизм) освидетельствование проводится по соответствующим подпунктам настоящего пункта в зависимости от клинических проявлении и нарушения функций.","ожирение, тиреоидит, фиброз","{""degree"": 2}"
13,4,"При наличии недостаточной массы тела - ИМТ менее 18,5 - призывники после консультации врача-терапевта и врача-гастроэнтеролога подлежат консультированию врачом-эндокринологом. При выявлении эндокринной патологии медицинское обследование и лечение призывников осуществляются в стационарных условиях. Граждане при призыве на срочную воинскую службу признаются по подпункту 4) настоящего пункта временно негодными к воинской службе сроком на шесть месяцев. Если через шесть месяцев у граждан не выявлены заболевания, вызывающие снижение массы тела, нет отрицательной динамики ИМТ (по данным ежемесячных осмотров), сохранена физическая работоспособность (по данным функциональных нагрузочных проб), то они подлежат освидетельствованию по подпункту 5) пункта 13 Требований по графам. При отрицательной динамике ИМТ, сниженной физической работоспособности граждане подлежат освидетельствованию по подпункту 3) настоящего пункта. Для оценки состояния питания (недостаточность питания, стадия ожирения) граждан, достигших 18-летнего возраста используется, определенный уполномоченным органом в области здравоохранения Республики Казахстан ИМТ, по формуле: ИМТ (кг/м2) = масса тела (кг) / квадрат величины роста (м2). Норма - 18,5-24,9 кг/м2. Избыточная масса тела - 25,0 - 29,9 кг/м2. Ожирение I степени - 30,0 - 34,9 кг/м2. Ожирение II степени - 35,0 - 39,9 кг/м2. Ожирение III степени - 40 кг/м2 и более. Для оценки состояния питания при освидетельствовании лиц, не достигших 18 лет, используются стандарты физического развития детей и подростков, принятые в Республике Казахстан. Граждане (военнослужащие) с психическими, поведенческими расстройствами (заболеваниями), совершившие суицидальные попытки или членовредительство, подтвержденные служебной, медицинской документацией, актами очевидцев, освидетельствуются по пунктам требований по графам, которые предусматривают соответствующие нозологические формы нервно-психической патологии. При этом в экспертном диагнозе указывается факт суицидальной попытки или членовредительства. Медицинское освидетельствование военнослужащих и граждан с впервые выявленными психическими, поведенческими расстройствами (заболеваниями)проводится после стационарного обследования (лечения), граждане, состоящие на диспансерном учете у психиатра, освидетельствуются - амбулаторно. Заключение о категории годности к воинской службе выносится не ранее, чем через месяц стационарного обследования (лечения), если иное не оговорено в клинических протоколах.","недостаточность, ожирение, эндокринный","{""count_min"": 2, ""degree"": 1, ""count_less_than"": 18, ""bmi"": 24.9}"
14,,К данному пункту также относятся специфические изменения личности вследствие эпилепсии.,,{}
14,3,Военнослужащим предоставляется отпуск по болезни с последующим медицинским освидетельствованием. Призывникам предоставляется отсрочка от призыва на срочную воинскую службу сроком на двенадцать месяцев с последующим обследованием в условиях стационара и медицинским освидетельствованием по подпункту 2) или 4) настоящего пункта в зависимости от компенсации болезненных проявлений.,,{}
14,4,"К данному подпункту относится также наличие указанных в пункте психических, поведенческих расстройств (заболеваний) в анамнезе при отсутствии патологии со стороны нервно-психической сферы и внутренних органов. Благоприятный исход указанных психических, поведенческих расстройств (заболеваний) подтверждается результатами стационарного (амбулаторного) обследования в условиях медицинской организации.",,{}
15,,"Предусматривает все формы шизофрении, легкие, резко выраженные или затяжные формы маниакально-депрессивного психоза, острые полиморфные психотические расстройства, циклотимии с часто повторяющимися фазами, с редкими приступами и длительными промежутками (несколько лет) ""полного психического здоровья"". При наличии эндогенного психоза, подтвержденного медицинскими документами о лечении и наблюдении в медицинской организации, оказывающей медицинскую помощь в области психического здоровья лицам с психическими, поведенческими расстройствами (заболеваниями), вопрос о категории годности к воинской службе граждан, освидетельствуемых по графе I, а также граждан, поступающих на воинскую службу по контракту, решается без стационарного обследования.",психоз,{}
16,,"В медицинских документах о результатах обследования и медицинского освидетельствования указывается причина, которая повлекла за собой развитие психического, поведенческого расстройства (заболевания).",,{}
16,2,"При благоприятном течении заболевания, когда наступает стойкая компенсация болезненных проявлений, с незначительными поражениями центральной нервной системы военнослужащие освидетельствуются по подпункту 3) настоящего пункта.",,{}
16,3,"Военнослужащим, перенесшим острое отравление алкоголем или наркотическими (токсическими) веществами, отпуск по болезни не предоставляется.",,{}
16,4,"К этому же подпункту относится наличие указанных в пункте психических, поведенческих расстройств (заболеваний) в анамнезе при отсутствии патологии со стороны нервно-психической сферы и внутренних органов. Благоприятный исход этих психических, поведенческих расстройств (заболеваний) подтверждается обследованием в медицинских организациях, оказывающих медицинскую помощь в области психического здоровья лицам с психическими, поведенческими растройствами (заболеваниями).",,{}
17,2,"Психотические расстройства с кратковременным и благоприятным течением, а также депрессивные эпизоды легкой тяжести; умеренно выраженные, длительные или повторные невротические расстройства, когда болезненные проявления, несмотря на проводимое лечение в стационарных условиях, стойко удерживаются и выражены в степени, затрудняющей исполнение освидетельствуемым обязанностей воинской службы.",,{}
17,3,"Данный подпункт применяется, когда социальная адаптация освидетельствуемых затруднена и требуется их дальнейшее диспансерное наблюдение.",,{}
18,2,"По данному подпункту освидетельствуются также граждане, страдающие транссексуализмом и сменившие пол, указанный в паспорте гражданина Республики Казахстан или ином документе, удостоверяющем личность, и (или) в отношении которых проведена гормональная и (или) хирургическая коррекция пола.",,{}
18,3,"Граждане (военнослужащие) с психопатоподобными состояниями, причинно связанными с конкретными внешними вредностями (инфекциями, интоксикациями, травмами), или с расстройствами влечений освидетельствуются по тем пунктам требований по графам, которые предусматривают нозологические формы нервно-психической патологии. Случаи установочного, нарочитого поведения, проявления недисциплинированности, не вытекающие из всей патологической структуры личности, как признаки личностного расстройства не оцениваются.",инфекция,{}
19,1,"психические, поведенческие расстройства (заболевания) вследствие употребления психоактивных веществ с выраженными и умеренными изменениями личности, интеллектуально-мнестическими нарушениями.",,{}
19,2,"психические, поведенческие расстройства (заболевания) вследствие употребления психоактивных веществ с незначительно выраженными изменениями личности; злоупотребление психоактивными веществами(случаи повторного приема психоактивных веществ, сопровождающиеся отчетливыми вредными для психического или физического здоровья последствиями при отсутствии синдрома зависимости). Единичное или эпизодическое употребление психоактивных веществ без психических расстройств не служит основанием для применения настоящего пункта. При положительном результате теста на употребление психоактивных веществ граждане, призываемые на срочную воинскую службу, поступающие в ВУЗ и на воинскую службу по контракту признаются временно негодными к воинской службе и направляются на обследование к наркологу.",,{}
20,1,При значительных и явных дефектах интеллекта вопрос о негодности к воинской службе освидетельствуемых по графе I решается без стационарного обследования.,,{}
20,2,"Для значительного нарушения функций нервной системы характерны, снижение мышечной силы конечностей от 0 до 2 баллов, выраженная дисфагия, афония, тазовые расстройства, выраженные мозжечковые и экстрапирамидные нарушения, выраженные нарушения праксиса, гнозиса, речи. Для умеренного нарушения функций нервной системы характерны снижение мышечной силы конечностей 3 балла, умеренно выраженные дисфагия, дизартрия, мозжечковые и экстрапирамидные нарушения, гипертензионно-гидроцефальный синдром, подтвержденный методами нейровизуализации, а также повторными люмбальными пункциями с цифрами ликворного давления более 200 миллиметров водяного столба (мм. вод. ст.) (в положении исследуемого лежа), либо однократном подтверждении ликворной гипертензии с наличием застойных дисков зрительных нервов на глазном дне. Для незначительного нарушения функций нервной системы характерны снижение мышечной силы конечностей 4 балла, легкая дисфагия, дизартрия, мозжечковые и экстрапирамидные нарушения. Степени нарушения функции по изложенному порядку определяется, если иное не оговорено в соответствующем пункте требований по графам, а снижение мышечной силы конечностей определяется по 6-балльной шкале оценки мышечной силы (L. McPeak, 1996, М. Вейсс, 1986).",,"{""count_more_than"": 200, ""score"": 2}"
21,,"При симптоматической эпилепсии освидетельствование проводится по заболеванию, приведшему к развитию судорожного синдрома. Наличие приступа подтверждается врачебным наблюдением, также принимаются во внимание медицинские документы, подтверждающие эпилептический приступ. В отдельных случаях во внимание принимаются письменные свидетельства очевидцев (акт очевидцев), если описанный в них припадок и последующее состояние дают основание считать его эпилептическим. При этом подлинность подписей очевидцев эпилептических приступов должна быть нотариально удостоверена или письменно заверена командиром (начальником) воинской части (учреждения). В сомнительных случаях следует запрашивать данные по месту жительства, учебы, работы, службы. При наличии частых (три и более в год) эпилептических припадков или психических эквивалентов судорожных припадков, а также прогрессирующих нарушений психики освидетельствование проводится по подпункту 1) настоящего пункта. Граждане (военнослужащие), перенесшие эпилептический статус с подтвержденным в стационарных условиях диагнозом эпилепсии, освидетельствуются по подпункту 1) пункта 21 Требований по графам независимо от частоты эпилептических приступов. При единичных редких (менее трех раз в год) эпилептических припадках, в том числе бессудорожных пароксизмах без эквивалентов и психических изменений, характерных для эпилепсии, освидетельствование проводится по подпункту 2) настоящего пункта. В случаях, когда документами медицинской организации подтверждается установленный в прошлом диагноз эпилепсии, но за последние 5 лет эпилептические приступы не наблюдались, освидетельствование проводится по подпункту 2) настоящего пункта независимо от результатов электроэнцефалографии при обследовании. При мигрени с частыми (три и более раза в год) и длительными (сутки и более) мигренозными приступами, стойких синдромах головной боли и расстройствах сна, подтвержденными медицинскими документами и динамическим наблюдением, требующими лечения в стационарных условиях (для верификации диагноза обязательно проведение МРТ головного мозга с ангиопрограммой), освидетельствование проводится по подпункту 2) настоящего пункта. При наличии эпилептиформной активности, выявленной по результатам электроэнцефалографии (пики, острые волны, все виды комплексов пик-волна, полиспайки, фотопароксизмальная реакция), без клинических проявлений освидетельствование проводится по подпункту 3) настоящего пункта. В случаях однократных припадков (эпилептическая реакция) любого характера в прошлом или слабо выраженных и редко возникающих малых припадках, бессудорожных пароксизмах или специфических расстройствах настроения вопрос о категории годности к воинской службе определяется после стационарного обследования. Граждане (военнослужащие) с эпилептическими пароксизмами не годны к управлению транспортными средствами, к работе на высоте, у движущихся механизмов, огня и воды.",эпилепсия,{}
22,1,"болезни нервной системы, сопровождающиеся глубокими параличами или парезами, выраженным вторичным паркинсонизмом, частыми (3 и более в год) эпилептическими припадками, выраженными распространенными гиперкинезами, частыми приступами кожевниковской или джексоновской эпилепсии, атактическими расстройствами, выраженной гидроцефалией, выраженной ликворной гипертензией; оптикохиазмальный арахноидит с расстройством зрения","паралич, парез","{""count_min"": 3}"
22,1,рассеянный склероз; последствия перенесенного миелита с явлениями паралича или выраженного пареза,"паралич, парез, склероз",{}
22,1,"тяжелые формы поражения нервной системы при раннем и позднем нейросифилисе, туберкулезный менингит, паразитарные поражения нервной системы.","сифилис, туберкулез",{}
22,3,"Граждане (военнослужащие), перенесшие туберкулезный менингит, освидетельствуются по подпунктам 1), 2) или 3) пункта 22 Требований по графам, в зависимости от степени нарушения функций ЦНС.",туберкулез,{}
22,4,"Наличие указанных в настоящем пункте расстройств подтверждается медицинскими документами, сведениями о влиянии указанных расстройств на трудоспособность или исполнение обязанностей воинской службы с места работы, учебы или воинской службы, а диагноз результатами клинических и специальных исследований. При этом заключение о категории годности к воинской службе граждан при приписке к призывным участкам, призыве на срочную воинскую службу, поступлении на воинскую службу по контракту выносится только после стационарного обследования. При оценке выраженности синдрома внутричерепной гипертензии кроме показателей давления спинномозговой жидкости (в норме спинномозговое давление при горизонтальном положении тела колеблется от 100 до 150 мм вод. ст.) учитываются клиника заболевания, наличие окклюзионно-гидроцефальных пароксизмов, застойных изменений на глазном дне, данные эхоэнцефалоскопии, степень расширения желудочковой системы мозга по данным КТ или МРТ. Выраженные клинические проявления синдрома повышения внутричерепного давления: наличие головной боли, рвоты, глазодвигательных нарушений, когнитивных нарушений, нарушений походки, нарушений функции тазовых органов, застойных дисков зрительных нервов или вторичной атрофии дисков зрительных нервов",атрофия,"{""pressure_mm_h2o"": 150}"
22,4,"ликворное давление в положении лежа при люмбальной пункции свыше 300 мм вод. ст.; перивентрикулярный отек. Умеренно выраженные клинические проявления синдрома повышения внутричерепного давления: наличие головной боли, начальных явлений застоя на глазном дне",,"{""pressure_mm_h2o"": 300}"
22,4,"ликворное давление в положении лежа при люмбальной пункции свыше 200 мм вод. ст. Расширение желудочковой системы головного мозга оценивают по данным компьютерной (магнитно-резонансной) томографии. Признаками гидроцефалии считают отношение максимальной ширины передних рогов к расстоянию между внутренними пластинками лобных костей на этом уровне свыше 0,5 (менее 0,4 - норма, 0,4 - 0,5 - пограничное значение, свыше 0,5 - гидроцефалия), индекс Эванса (отношение ширины передних рогов к максимальному расстоянию между внутренними пластинками теменных костей) свыше 26, индекс III желудочка (до 20 лет - свыше 3,0, до 50 лет - свыше 3,9, 50 лет и старше - более 4,5). Наличие перивентрикулярного отека оценивают по данным компьютерной томографии (понижение плотности перивентрикулярного белого вещества), магнитно-резонансной томографии (сигнал высокой интенсивности на Т2 изображениях). При выраженных эмоционально-волевых или интеллектуально-мнестических расстройствах, возникших вследствие перенесенного органического поражения головного мозга, инфекционного заболевания или интоксикации, освидетельствование проводится по пункту 14 требований по графам.",зоб,"{""count_more_than"": 4, ""count_less_than"": 0, ""pressure_mm_h2o"": 200}"
23,,"Кроме этого к ним относятся: наследственные атаксии, спинальная мышечная атрофия, болезнь Паркинсона, эссенциальный тремор, болезнь Альцгеймера, мышечная дистрофия, детский церебральный паралич, гидроцефалия, токсическая или неуточненная, в том числе резидуальная энцефалопатия, церебральная киста, сиренгомиелия, сиренгобульбия.","атрофия, дистрофия, паралич",{}
23,1,"К данному подпункту также относятся опухоли головного и спинного мозга не зависимо от стадии развития и эффективности лечения, эссенциальный тремор, сопровождающийся грубыми нарушениями письма (невозможность прочитать написанное освидетельствуемым, поставить подпись), нарушениями способности к самообслуживанию, а также с выраженными изменениями при выполнении рисуночных тестов (в том числе спиралограмм, параллельных линий).",опухоль,{}
23,4,"эссенциальный тремор без нарушения функции, не препятствующий исполнению должностных обязанностей; синдром гидроцефалии, врожденные церебральные и спинальные кисты без нарушения функции",,{}
23,4,"энцефалопатии без признаков повышения внутричерепного давления, при которых в неврологическом статусе выявляются легкие астеноневротические проявления и (или) вегетативно-сосудистая неустойчивость. После радикального удаления доброкачественных опухолей головного или спинного мозга освидетельствование проводится по подпунктам 1), 2) или 3) настоящего пункта в зависимости от степени нарушения функций.",доброкачественный,{}
24,1,повторные инсульты независимо от степени нарушения функций; повторные субарахноидальные кровоизлияния (независимо от этиологии),"инсульт, кровоизлияние",{}
24,1,"стойкие выпадения функций нервной системы, наступившие вследствие острого нарушения церебрального или спинального кровообращения; дисциркуляторная энцефалопатия III стадии",,{}
24,1,"спонтанные (нетравматические) субарахноидальные кровоизлияния головного мозга у освидетельствуемых по графам I - II; аневризмы и артериовенозные мальформации сосудов головного и спинного мозга, явившиеся причиной нарушения мозгового кровообращения, при отказе от оперативного лечения или неоперабельности, независимо от степени выраженности остаточных явлений нарушений мозгового кровообращения и функций нервной системы.",кровоизлияние,{}
24,2,"множественные артериальные аневризмы после их выключения из кровообращения; артериовенозные аневризмы после эмболизации, искусственного тромбирования или интракраниального удаления",,{}
24,2,сосудистые поражения головного или спинного мозга с благоприятным течением и умеренной выраженностью очаговых выпадений; дисциркуляторная энцефалопатия II стадии при церебральном атеросклерозе,склероз,{}
24,2,"частые (три и более раза в год) преходящие нарушения мозгового кровообращения (транзиторные ишемии мозга, гипертонические церебральные кризы), требующие обследования и лечения в стационарных условиях с верификацией общемозговой и очаговой симоптоматики, с обязательной ее оценкой в динамике; последствия нарушения спинального кровообращения в виде стойких нарушений чувствительности или легкого пареза конечностей",парез,{}
24,2,"спонтанные (нетравматические) субарахноидальные кровоизлияния головного мозга у освидетельствуемых по графе III. После хирургического лечения по поводу сосудистых поражений головного (в том числе аневризмы сосудов головного мозга) или спинного мозга в отношении освидетельствуемых по графам I, II заключение выносится по подпункту 1) настоящего пункта, а освидетельствуемых по графе III по соответствующим подпунктам пункта 24 Требований по графам, в зависимости от радикальности операции, ее эффективности, величины послеоперационного дефекта костей черепа, динамики восстановления нарушенных функций. При наличии дефекта костей черепа дополнительно применяются подпункты пункта 81 требований по графам.",кровоизлияние,{}
24,3,"одиночные артериальные аневризмы после внутричерепного клиппирования или выключения из кровообращения с помощью баллонизации либо искусственного тромбирования; редкие (не более двух раз в год) преходящие нарушения мозгового кровообращения (транзиторные ишемии мозга, гипертонические церебральные кризы), сопровождающиеся нестойкими очаговыми симптомами со стороны центральной нервной системы (парезы, парестезии, расстройства речи, мозжечковые явления), которые удерживаются не более суток и проходят без нарушения функций нервной системы или усугубления имеющихся расстройств",парез,{}
24,3,"частые (три и более раза в год) либо повторные (два и более раза в месяц) кризы, проявляющиеся острым малокровием мозга (простые и судорожные обмороки), подтвержденные документами; бессимптомные артериальные аневризмы и артериовенозные мальформации.",,{}
24,4,"редкие (не более двух раз в год) кризы, проявляющиеся острым малокровием мозга (простые и судорожные обмороки), подтвержденные документами; дисциркуляторная энцефалопатия I стадии. При установлении диагноза дисциркуляторной энцефалопатии необходимо руководствоваться следующими условиями: наличие одного из этиологических факторов (атеросклероз церебральных сосудов, артериальная гипертензия, сахарный диабет, гиперхолестеринемия, гипергомоцистеинемия, заболевания сердца (ишемическая болезнь сердца, ревматические поражения, нарушения сердечного ритма и др.), заболевания крови, поражения сосудов головного мозга вследствие травм, инфекционных и системных заболеваний, аномалии развития сосудов, патология шейного отдела позвоночника, травмы головного мозга и др.)","диабет, сердечный, склероз",{}
